feature,group,encoding
null, _,"[[0,0,0,0,0,0,0,0,0],[0,0,0,0,0,0,0,0,0],[0,0,0,0,0,0,0,0,0],[0,0,0,0,0,0,0,0,0]]"

adj, category, "[[0,0,0,0,0,0,0,0,0],[0,0,0,0,0,0,0,0,0],[0,0,0,0,0,0,0,0,0],[0,0,0,0,0,0,0,0,0]]"
reference, category,"[[0,0,0,0,0,0,0,0,0],[0,0,0,0,0,0,0,0,0],[0,0,0,0,0,0,0,0,0],[1,1,1,1,1,1,1,1,1]]"
adverb, category,"[[0,0,0,0,0,0,0,0,0],[0,0,0,0,0,0,0,0,0],[0,0,0,0,0,0,0,0,0],[0,0,0,0,1,0,0,0,1]]"
superlative, category,"[[0,0,0,0,0,0,0,0,0],[0,0,0,0,0,0,0,0,0],[0,0,0,0,0,0,0,0,0],[1,0,0,1,1,0,0,0,1]]"
comparative, category,"[[0,0,0,0,0,0,0,0,0],[0,0,0,0,0,0,0,0,0],[0,0,0,0,0,0,0,0,0],[1,0,0,1,0,0,1,0,0]]"

quality, domain,"[[0,0,0,1,0,0,0,0,0],[0,0,0,0,0,0,0,0,0],[0,0,0,0,0,0,0,0,0],[0,0,0,0,0,0,0,0,0]]"
ability,domain,"[[0,0,1,1,1,0,0,0,0],[0,0,0,0,0,0,0,0,0],[0,0,0,0,0,0,0,0,0],[0,0,0,0,0,0,0,0,0]]"
dimension,domain,"[[1,1,1,0,1,1,1,0,0],[0,0,0,0,0,0,0,0,0],[0,0,0,0,0,0,0,0,0],[0,0,0,0,0,0,0,0,0]]"
property,domain,"[[1,1,1,1,1,1,1,0,0],[0,0,0,0,0,0,0,0,0],[0,0,0,0,0,0,0,0,0],[0,0,0,0,0,0,0,0,0]]"
age,domain,"[[1,1,0,0,0,1,1,0,0],[0,0,0,0,0,0,0,0,0],[0,0,0,0,0,0,0,0,0],[0,0,0,0,0,0,0,0,0]]"
social,domain,"[[0,1,1,0,1,1,0,1,1],[0,0,0,0,0,0,0,0,0],[0,0,0,0,0,0,0,0,0],[0,0,0,0,0,0,0,0,0]]"
color,domain,"[[0,1,0,1,0,1,0,1,1],[0,0,0,0,0,0,0,0,0],[0,0,0,0,0,0,0,0,0],[0,0,0,0,0,0,0,0,0]]"
quantity,domain,"[[1,1,1,1,1,1,1,1,1],[0,0,0,0,0,0,0,0,0],[0,0,0,0,0,0,0,0,0],[0,0,0,0,0,0,0,0,0]]"

good, root,"[[0,0,0,0,0,0,0,0,0],[0,0,0,0,0,0,0,0,0],[1,1,1,1,1,1,1,1,1],[0,0,0,0,0,0,0,0,0]]"
bad, root,"[[0,0,0,0,0,0,0,0,0],[1,1,1,1,1,1,1,1,1],[0,0,0,0,0,0,0,0,0],[0,0,0,0,0,0,0,0,0]]"

willing, root,"[[0,0,0,0,0,0,0,0,0],[0,0,0,0,0,0,0,0,0],[1,0,1,0,1,0,1,1,0],[0,0,0,0,0,0,0,0,0]]"
unwilling, root,"[[0,0,0,0,0,0,0,0,0],[1,0,1,1,0,1,0,1,0],[0,0,0,0,0,0,0,0,0],[0,0,0,0,0,0,0,0,0]]"

full, root,"[[0,0,0,0,0,0,0,0,0],[0,0,0,0,0,0,0,0,0],[1,1,1,1,1,1,0,0,1],[0,0,0,0,0,0,0,0,0]]"
empty, root,"[[0,0,0,0,0,0,0,0,0],[1,1,0,0,1,1,1,1,1],[0,0,0,0,0,0,0,0,0],[0,0,0,0,0,0,0,0,0]]"

true, root,"[[0,0,0,0,0,0,0,0,0],[0,0,0,0,0,0,0,0,0],[0,0,0,0,0,0,1,1,0],[0,0,0,0,0,0,0,0,0]]"
false, root,"[[0,0,0,0,0,0,0,0,0],[0,0,1,1,0,0,0,0,0],[0,0,0,0,0,0,0,0,0],[0,0,0,0,0,0,0,0,0]]"

clear, root,"[[0,0,0,0,0,0,0,0,0],[0,0,0,0,0,0,0,0,0],[0,0,1,0,0,0,0,0,0],[0,0,0,0,0,0,0,0,0]]"
unclear, root,"[[0,0,0,0,0,0,0,0,0],[0,0,0,0,0,0,0,1,0],[0,0,0,0,0,0,0,0,0],[0,0,0,0,0,0,0,0,0]]"

big, root,"[[0,0,0,0,0,0,0,0,0],[0,0,0,0,0,0,0,0,0],[0,0,1,0,0,1,0,0,1],[0,0,0,0,0,0,0,0,0]]"
small, root,"[[0,0,0,0,0,0,0,0,0],[0,1,0,0,1,0,0,1,0],[0,0,0,0,0,0,0,0,0],[0,0,0,0,0,0,0,0,0]]"

tall_long, root,"[[0,0,0,0,0,0,0,0,0],[0,0,0,0,0,0,0,0,0],[0,1,0,1,0,0,1,1,0],[0,0,0,0,0,0,0,0,0]]"
short, root,"[[0,0,0,0,0,0,0,0,0],[0,0,1,1,0,0,1,0,1],[0,0,0,0,0,0,0,0,0],[0,0,0,0,0,0,0,0,0]]"

thick_deep, root,"[[0,0,0,0,0,0,0,0,0],[0,0,0,0,0,0,0,0,0],[1,0,0,0,1,0,0,0,0],[0,0,0,0,0,0,0,0,0]]"
thin, root,"[[0,0,0,0,0,0,0,0,0],[1,0,0,0,0,1,0,0,0],[0,0,0,0,0,0,0,0,0],[0,0,0,0,0,0,0,0,0]]"

open, root,"[[0,0,0,0,0,0,0,0,0],[0,0,0,0,0,0,0,0,0],[1,0,1,0,1,1,0,0,1],[0,0,0,0,0,0,0,0,0]]"
closed, root,"[[0,0,0,0,0,0,0,0,0],[1,1,0,0,1,1,0,1,0],[0,0,0,0,0,0,0,0,0],[0,0,0,0,0,0,0,0,0]]"

hot, root,"[[0,0,0,0,0,0,0,0,0],[0,0,0,0,0,0,0,0,0],[0,1,1,1,0,0,0,0,0],[0,0,0,0,0,0,0,0,0]]"
cold, root,"[[0,0,0,0,0,0,0,0,0],[0,0,0,0,0,0,1,1,1],[0,0,0,0,0,0,0,0,0],[0,0,0,0,0,0,0,0,0]]"

clean, root,"[[0,0,0,0,0,0,0,0,0],[0,0,0,0,0,0,0,0,0],[1,1,0,1,1,0,1,1,0],[0,0,0,0,0,0,0,0,0]]"
dirty, root,"[[0,0,0,0,0,0,0,0,0],[1,0,1,1,0,1,1,0,1],[0,0,0,0,0,0,0,0,0],[0,0,0,0,0,0,0,0,0]]"

sharp_heavy, root,"[[0,0,0,0,0,0,0,0,0],[0,0,0,0,0,0,0,0,0],[0,1,1,1,0,0,1,1,0],[0,0,0,0,0,0,0,0,0]]"
soft_light, root,"[[0,0,0,0,0,0,0,0,0],[0,0,1,1,0,0,1,1,1],[0,0,0,0,0,0,0,0,0],[0,0,0,0,0,0,0,0,0]]"

healthy, root,"[[0,0,0,0,0,0,0,0,0],[0,0,0,0,0,0,0,0,0],[0,1,0,1,0,1,0,0,1],[0,0,0,0,0,0,0,0,0]]"
unhealthy, root,"[[0,0,0,0,0,0,0,0,0],[0,1,0,0,1,0,1,0,1],[0,0,0,0,0,0,0,0,0],[0,0,0,0,0,0,0,0,0]]"


Glyphs
command, feature1, rotation1, feature2, rotation2, feature3, rotation3
# 1:domain 2-3:root 4:category
Entire, quantity,0, full,0, null,0
Entirely, quantity,0,full,0, alverb,0
None (of), quantity,0, empty,0, null,0
Always, quantity,0, full,0, adverb,0
Never,quantity,0, empty,0, adverb,0
Usually,quantity,0, big,0, adverb,0
Sometimes, quantity,0, unclear,0,adverb,0
Rarely,quantity,0,small,0,adverb,0
Most,quantity,0,big,0, null,0
Many,quantity,0,unclear,0,null,0
Few, quantity,0,small,0,null,0

quickly, age, 0, hot, 0, adverb, 0
superlative, null, 0, null,0, superlative,0
bigger, dimension, 0, big, 0, comparative,0
Noble, social, 0, big,0, reference,0
quantity,quantity, 0, null,0,null,0

good or right,quality,0,good,0,null,0
best, quality, 0, good, 0, superlative, 0

Right,quality,0,good,0,null,0
Good,property,0,good,0,null,0
Recent,age,0,good,0,null,0
Current, age, 0, good,0, null,0
Now, age, 0, good,0, adverb,0
Currently, age, 0, good,0, adverb,0
Likely,social,0,good,0,adverb,0
Green,color,0,good,0,null,0

Wrong,quality,0,bad,0,null,0
Bad,property,0,bad,0,null,0
Outdated,age,0,bad,0,null,0
Unlikely,social,0,bad,0,adverb,0
Red,color,0,bad,0,null,0

Willing,quality,0,willing,0,null,0
Aware,ability,0,willing,0,null,0
Soft or malleable,property,0,willing,0,null,0
Near or nearly,age,0,willing,0,null,0
Blessed or favored,social,0,willing,0,null,0
Beautiful,color,0,willing,0,null,0

Unwilling or resentful,quality,0,unwilling,0,null,0
Unconscious or unaware,ability,0,unwilling,0,null,0
Hard,property,0,unwilling,0,null,0
Far or hardly,age,0,unwilling,0,null,0
Cursed,social,0,unwilling,0,null,0
Ugly,color,0,unwilling,0,null,0

Complete,quality,0,full,0,null,0
Wide,dimension,0,full,0,null,0
Full,property,0,full,0,null,0
Inside,age,0,full,0,null,0
Content or pleased,social,0,full,0,null,0
White,color,0,full,0,null,0

Incomplete,quality,0,empty,0,null,0
Narrow,dimension,0,empty,0,null,0
Empty,property,0,empty,0,null,0
Outside,age,0,empty,0,null,0
Isolated or deprived,social,0,empty,0,null,0
Black,color,0,empty,0,null,0

Obvious,quality,0,clear,0,null,0
Deliberate,ability,0,clear,0,null,0
Tiny,dimension,0,clear,0,null,0
Clear or transparent,property,0,clear,0,null,0
Aforementioned or already,age,0,clear,0,null,0
Known,social,0,clear,0,null,0
Same or identical,color,0,clear,0,null,0

Unclear or inferred,quality,0,unclear,0,null,0
Accidental,ability,0,unclear,0,null,0
Vast,dimension,0,unclear,0,null,0
Opaque or hidden,property,0,unclear,0,null,0
Subsequent,age,0,unclear,0,null,0
Unknown,social,0,unclear,0,null,0
Different,color,0,unclear,0,null,0

Strong or great,quality,0,big,0,null,0
Big,dimension,0,big,0,null,0
Smooth,property,0,big,0,null,0
Former or previous or prior or early,age,0,big,0,null,0
Royal or divine,social,0,big,0,null,0

Weak or mean,quality,0,small,0,null,0
Small or little,dimension,0,small,0,null,0
Rough,property,0,small,0,null,0
Later or following or future or late,age,0,small,0,null,0
Common or physical,social,0,small,0,null,0

True,quality,0,tall_long,0,null,0
Long or tall,dimension,0,tall_long,0,null,0
Natural or raw,property,0,tall_long,0,null,0
Old,age,0,tall_long,0,null,0
Real,social,0,tall_long,0,null,0

False,quality,0,short,0,null,0
Short,dimension,0,short,0,null,0
Artificial or processed,property,0,short,0,null,0
Young,age,0,short,0,null,0
Fake,social,0,short,0,null,0

Safe,quality,0,thick_deep,0,null,0
Allowed,ability,0,thick_deep,0,null,0
Thick or deep,dimension,0,thick_deep,0,null,0
Gradual,age,0,thick_deep,0,null,0

Dangerous,quality,0,thin,0,null,0
Forced,ability,0,thin,0,null,0
Thin,dimension,0,thin,0,null,0
Sudden,age,0,thin,0,null,0


Useful,quality,0,open,0,null,0
Free,ability,0,open,0,null,0
Open,property,0,open,0,null,0
New,age,0,open,0,null,0
Fresh,age,0,open,0,null,0
Unfamiliar,social,0,open,0,null,0

Harmful,quality,0,closed,0,null,0
Bound,ability,0,closed,0,null,0
Closed,property,0,closed,0,null,0
Used,age,0,closed,0,null,0
Worn,age,0,closed,0,null,0
Loyal,social,0,closed,0,null,0


Active, quality,0, hot, 0, null,0
Hot,property,0,hot,0,null,0
Fast or quick,age,0,hot,0,null,0
Angry,social,0,hot,0,null,0
Bright,color,0,hot,0,null,0

Inactive, quality,0, cold,0,null,0
Cold,property,0,cold,0,null,0
Slow,age,0,cold,0,null,0
Sad,social,0,cold,0,null,0
Dull,color,0,cold,0,null,0


Pure,quality,0,clean,0,null,0
Clean,property,0,clean,0,null,0
Mortal or human,social,0,clean,0,null,0
Light,color,0,clean,0,null,0


Corrupt or tainted or mixed,quality,0,dirty,0,null,0
Dirty,property,0,dirty,0,null,0
Demonic,social,0,dirty,0,null,0
Dark,color,0,dirty,0,null,0


Important,quality,0,sharp_heavy,0,null,0
Difficult,ability,0,sharp_heavy,0,null,0
Angular,dimension,0,sharp_heavy,0,null,0
Heavy or sharp,property,0,sharp_heavy,0,null,0
Established,age,0,sharp_heavy,0,null,0
Defined,color,0,sharp_heavy,0,null,0


Frivolous,quality,0,soft_light,0,null,0
Easy,ability,0,soft_light,0,null,0
Curved,dimension,0,soft_light,0,null,0
Light or soft,property,0,soft_light,0,null,0
Novel or unproven,age,0,soft_light,0,null,0
Fuzzy or shadowed,color,0,soft_light,0,null,0


Beneficial,quality,0,healthy,0,null,0
Alive,ability,0,healthy,0,null,0
Symmetrical,dimension,0,healthy,0,null,0
Healthy,property,0,healthy,0,null,0
Kind or magnanimous,social,0,healthy,0,null,0
Blue,color,0,healthy,0,null,0


Harmful,quality,0,unhealthy,0,null,0
Dead,ability,0,unhealthy,0,null,0
Asymmetrical or irregular,dimension,0,unhealthy,0,null,0
Unhealthy or ill,property,0,unhealthy,0,null,0
Cruel or selfish,social,0,unhealthy,0,null,0
Yellow,color,0,unhealthy,0,null,0


