feature,group,encoding
null, _,"[[0,0,0,0,0,0,0,0],[0,0,0,0,0,0,0,0],[0,0,0,0,0,0,0,0],[0,0,0,0,0,0,0,0]]"
LT, boundary,"[[0,0,1,1,0,0,1,1],[0,0,0,0,0,0,0,0],[0,0,0,0,0,0,0,0],[0,0,0,0,0,0,0,0]]"
LEQ, boundary,"[[1,0,1,0,0,1,0,0],[0,0,0,0,0,0,0,0],[0,0,0,0,0,0,0,0],[0,0,0,0,0,0,0,0]]"
GT, boundary,"[[1,1,1,1,1,1,1,1],[0,0,0,0,0,0,0,0],[0,0,0,0,0,0,0,0],[0,0,0,0,0,0,0,0]]"
GEQ, boundary,"[[1,1,1,1,1,0,1,0],[0,0,0,0,0,0,0,0],[0,0,0,0,0,0,0,0],[0,0,0,0,0,0,0,0]]"
Zero, num,"[[0,0,0,0,0,0,0,0],[0,1,0,1,0,0,0,0],[0,0,0,0,0,0,0,0],[0,0,0,0,0,0,0,0]]"
One,num,"[[0,0,0,0,0,0,0,0],[1,1,1,1,1,1,1,1],[0,0,0,0,0,0,0,0],[0,0,0,0,0,0,0,0]]"
Two,num,"[[0,0,0,0,0,0,0,0],[0,1,1,1,0,0,1,0],[0,0,0,0,0,0,0,0],[0,0,0,0,0,0,0,0]]"
Three,num,"[[0,0,0,0,0,0,0,0],[0,0,1,0,0,1,0,1],[0,0,0,0,0,0,0,0],[0,0,0,0,0,0,0,0]]"
Four,num,"[[0,0,0,0,0,0,0,0],[1,0,1,0,1,0,1,0],[0,0,0,0,0,0,0,0],[0,0,0,0,0,0,0,0]]"
Five,num,"[[0,0,0,0,0,0,0,0],[1,1,0,0,1,1,0,0],[0,0,0,0,0,0,0,0],[0,0,0,0,0,0,0,0]]"
Six,num,"[[0,0,0,0,0,0,0,0],[1,0,0,0,1,1,0,1],[0,0,0,0,0,0,0,0],[0,0,0,0,0,0,0,0]]"
Seven,num,"[[0,0,0,0,0,0,0,0],[0,0,0,0,0,1,1,1],[0,0,0,0,0,0,0,0],[0,0,0,0,0,0,0,0]]"
NaN,type,"[[0,0,0,0,0,0,0,0],[0,0,0,0,0,0,0,0],[0,0,0,0,0,0,0,0],[0,0,0,0,0,0,0,0]]"
Negative, type, "[[0,0,0,0,0,0,0,0],[0,0,0,0,0,0,0,0],[0,0,0,1,0,1,0,0],[0,0,0,0,0,0,0,0]]"
Numerator, type,"[[0,0,0,0,0,0,0,0],[0,0,0,0,0,0,0,0],[0,1,1,0,0,0,0,0],[0,0,0,0,0,0,0,0]]"
Denominator, type,"[[0,0,0,0,0,0,0,0],[0,0,0,0,0,0,0,0],[0,0,0,0,1,1,1,1],[0,0,0,0,0,0,0,0]]"
Percentage, type,"[[0,0,0,0,0,0,0,0],[0,0,0,0,0,0,0,0],[0,1,1,0,0,1,1,0],[0,0,0,0,0,0,0,0]]"
Measure, type,"[[0,0,0,0,0,0,0,0],[0,0,0,0,0,0,0,0],[1,0,0,0,0,0,0,0],[0,0,0,0,0,0,0,0]]"
Ordinal, type, "[[0,0,0,0,0,0,0,0],[0,0,0,0,0,0,0,0],[1,0,0,1,0,0,0,0],[0,0,0,0,0,0,0,0]]"
Add, operator,"[[0,0,0,0,0,0,0,0],[0,0,0,0,0,0,0,0],[0,0,0,0,0,0,0,0],[0,1,1,0,0,0,0,0]]"
Multiply, operator,"[[0,0,0,0,0,0,0,0],[0,0,0,0,0,0,0,0],[0,0,0,0,0,0,0,0],[0,0,0,0,1,0,1,0]]"
Glyphs
command, feature1, rotation1, feature2, rotation2, feature3, rotation3, feature4, rotation4
One, null, 0, One, 0, null, 0, null, 0
Two, null, 0, Two, 0, null, 0, null, 0
Three, null, 0, Three, 0, null, 0, null, 0
Four, null, 0, Four, 0, null, 0, null, 0
Five, null, 0, Five, 0, null, 0, null, 0
Six, null, 0, Six, 0, null, 0, null, 0
Seven, null, 0, Seven, 0, null, 0, null, 0
Zero, null, 0, Zero, 0, null, 0, null, 0
NaN, null, 0, null, 0, NaN, 0, null, 0
Negative, null, 0, null, 0, Negative,0, null, 0
Numerator,null, 0, null, 0, Numerator, 0, null, 0
Denominator,null, 0, null, 0, Denominator, 0, null, 0
Percentage,null, 0, null, 0, Percentage, 0, null, 0
Measure,null, 0, null, 0, Measure, 0, null, 0
Ordinal, null, 0, null, 0, Ordinal, 0, null, 0
Add,null, 0, null, 0, null, 0, Add, 1
Subtract,null, 0, null, 0, Negative, 0, Add, 0
LT, LT, 0, null, 0, null, 0, null, 0
LEQ, LEQ,0, null, 0, null, 0, null, 0
GEQ, GEQ,0, null, 0, null, 0, null, 0
GT, GT,0, null, 0, null, 0, null, 0
Multiply,null, 0, null, 0, null, 0, Multiply, 0
Divide,null, 0, null, 0, Denominator, 0, Multiply, 0
Power, null, 0, null, 0, Ordinal, 0, Multiply, 0
